gpf_type,round,names
treatment,1.0,WheatBran_Taka
treatment,1.0,PulseHusk_Amount
treatment,1.0,PulseHusk_Unit
treatment,1.0,PulseHusk_Source
treatment,1.0,PulseHusk_Taka
treatment,1.0,BrokenRice_Amount
treatment,1.0,BrokenRice_Unit
treatment,1.0,BrokenRice_Source1
treatment,1.0,BrokenRice_Source2
treatment,1.0,BrokenRice_Taka
treatment,1.0,Molasses_Amount
treatment,1.0,Molasses_Unit
treatment,1.0,Molasses_Source
treatment,1.0,Molasses_Taka
treatment,1.0,BrokenMaize_Amount
treatment,1.0,BrokenMaize_Unit
treatment,1.0,BrokenMaize_Source
treatment,1.0,BrokenMaize_Taka
treatment,1.0,CoconutoilCake_Amount
treatment,1.0,CoconutoilCake_Unit
treatment,1.0,CoconutoilCake_Source
treatment,1.0,CoconutoilCake_Taka
treatment,1.0,MustardoilCake_Amount
treatment,1.0,MustardoilCake_Unit
treatment,1.0,MustardoilCake_Source1
treatment,1.0,MustardoilCake_Source2
treatment,1.0,MustardoilCake_Taka
treatment,1.0,Mineralmix_Amount
treatment,1.0,Mineralmix_Unit
treatment,1.0,Mineralmix_Source
treatment,1.0,Mineralmix_Taka
treatment,1.0,DCP_Amount
treatment,1.0,DCP_Unit
treatment,1.0,DCP_Source
treatment,1.0,DCP_Taka
treatment,1.0,Straw_Amount
treatment,1.0,Straw_Unit
treatment,1.0,Straw_Source1
treatment,1.0,Straw_Source2
treatment,1.0,Straw_Source3
treatment,1.0,Straw_Taka
treatment,1.0,GreenGrass_Amount
treatment,1.0,GreenGrass_Unit
treatment,1.0,GreenGrass_Source1
treatment,1.0,GreenGrass_Source2
treatment,1.0,GreenGrass_Source3
treatment,1.0,GreenGrass_Taka
treatment,1.0,ReadyFeed_Amount
treatment,1.0,ReadyFeed_Unit
treatment,1.0,ReadyFeed_Source1
treatment,1.0,ReadyFeed_Source2
treatment,1.0,ReadyFeed_Taka
treatment,1.0,Total_Amount
treatment,1.0,Total_Taka
treatment,1.0,AffectedbydiseaseYesNo
treatment,1.0,ActiontakenAffectedbydisease
treatment,1.0,WhoprovidedTreatment1
treatment,1.0,WhoprovidedTreatment2
treatment,1.0,WhoprovidedTreatment3
treatment,1.0,TreatmentFees
treatment,1.0,DiagnosisCost
treatment,1.0,MedicineCost
treatment,1.0,TotalTreatmentCost
treatment,1.0,VaccinatedYesNo
treatment,1.0,WhoprovidedVaccinne1
treatment,1.0,WhoprovidedVaccinne2
treatment,1.0,Feeforvaccination
treatment,1.0,Diagnosiscostforvaccination
treatment,1.0,VaccineCost
treatment,1.0,Totalvaccinationcost
treatment,1.0,DewormedYesNo
treatment,1.0,ProvidedDewormed1
treatment,1.0,ProvidedDewormed2
treatment,1.0,Totaldewormingcost
treatment,1.0,ProvidedAIYesNo
treatment,1.0,WhoProvidedAI1
treatment,1.0,WhoProvidedAI2
treatment,1.0,TotalAIcost
treatment,1.0,ProvidedNIYesNo
treatment,1.0,NIProviderSource
treatment,1.0,TotalNIcost
treatment,1.0,TotalCost
treatment,1.0,Didyoupurchaseanycattle
treatment,1.0,Howmanycattlepurchase
treatment,1.0,Typeofcattlepurchased1
treatment,1.0,Typeofcattlepurchased2
treatment,1.0,Typeofcattlepurchased3
treatment,1.0,Breedtypeofpurchasedcattle
treatment,1.0,Didyousaleanycattle
treatment,1.0,Howmanycattlesold
treatment,1.0,Typeofcattlesold1
treatment,1.0,Typeofcattlesold2
treatment,1.0,Typeofcattlesold3
treatment,1.0,Typeofcattlesold4
treatment,1.0,Typeofcattlesold5
treatment,1.0,Typeofcattlesold6
treatment,1.0,Whysoldthem1
treatment,1.0,Whysoldthem2
treatment,1.0,Didyousellanycalf
treatment,1.0,Howmanycalfsold
treatment,1.0,Ccalf1CalfID
treatment,1.0,Calf1Breed
treatment,1.0,Calf1Sex
treatment,1.0,Calf1Price
treatment,1.0,Calf1SoldMonth
treatment,1.0,Ccalf2CalfID
treatment,1.0,Calf2Breed
treatment,1.0,Calf2Sex
treatment,1.0,Calf2Price
treatment,1.0,Calf2SoldMonth
treatment,1.0,Ccalf3CalfID
treatment,1.0,Calf3Breed
treatment,1.0,Calf3Sex
treatment,1.0,Calf3Price
treatment,1.0,Calf3SoldMonth
treatment,1.0,Totalcalfsaleincome
treatment,1.0,Didyouhaveanycalfborninthelast6months
treatment,1.0,Howlongwasthedryperiod
treatment,1.0,DiedanyCattle
treatment,1.0,Yeshowmany
treatment,1.0,TypeofdeadCattle1
treatment,1.0,TypeofdeadCattle2
treatment,1.0,WhatdidyoudowithdeadCattle1
treatment,1.0,WhatdidyoudowithdeadCattle2
treatment,1.0,Wheredidyougetthemoneytofinanceyourdairy1
treatment,1.0,Wheredidyougetthemoneytofinanceyourdairy2
treatment,1.0,Wheredidyougetthemoneytofinanceyourdairy3
treatment,1.0,Ifreceiveanyloanshowmuch
treatment,1.0,LoanSource1
treatment,1.0,LoanSource2
treatment,1.0,LoanSource3
treatment,1.0,LoanSource4
treatment,1.0,Ifnottakenloanhaveanyplantoreceiveloan
treatment,1.0,Ifhaveplanfromwheretoreceiveloan1
treatment,1.0,Ifhaveplanfromwheretoreceiveloan2
treatment,1.0,Ifhaveplanfromwheretoreceiveloan3
treatment,1.0,Ifhaveplanfromwheretoreceiveloan4
treatment,1.0,Whatisthenameofvetdoctorserveinyourgroup
treatment,1.0,WhattypeofthevetDoctoris1
treatment,1.0,WhattypeofthevetDoctoris2
treatment,1.0,WhattypeofthevetDoctoris3
treatment,1.0,HowmanytimesthevetDoctorvisitedyourfarm
treatment,1.0,KnowledgeLevelofthatvetDoctor
treatment,1.0,SkillLevelofthatvetDoctor
treatment,1.0,ResponsivenessofthatvetDoctorwhencall
treatment,1.0,RangeofFeereceived
treatment,1.0,Doesheprovideprescription
treatment,1.0,AreyousatisfiedwiththeserviceofvetDoctor
treatment,1.0,Explainyourcomments
treatment,1.0,Wheredoyousellmilk1
treatment,1.0,Wheredoyousellmilk2
treatment,1.0,Whydoyouchoosetosellmilkhere
treatment,1.0,LevelofSatisfactionwithDFTpointormilkcollector
treatment,1.0,Areyousatisfiedwiththemethodsofmeasurement
treatment,1.0,Describewhy
treatment,1.0,Doyouthinkthemilksalestransactionsarefair
treatment,1.0,Describewhy_A
treatment,1.0,Mainlywhoisresponsibleforsellingthemilk1
treatment,1.0,Mainlywhoisresponsibleforsellingthemilk2
treatment,1.0,Mainlywhoreceivespaymentfrommilksales1
treatment,1.0,Mainlywhoreceivespaymentfrommilksales2
treatment,1.0,DescribehowyoudecidedwhowillreceivepaymentinHH
treatment,1.0,Wheredoyoupurchaseyourinputs1
treatment,1.0,Wheredoyoupurchaseyourinputs2
treatment,1.0,Wheredoyoupurchaseyourinputs3
treatment,1.0,Haveyourecentlychangedwhereyoupurchaseyourinputs
treatment,1.0,Wheredidyoupreviouslypurchaseyourinputs1
treatment,1.0,Wheredidyoupreviouslypurchaseyourinputs2
treatment,1.0,Wheredidyoupreviouslypurchaseyourinputs3
treatment,1.0,HowoftendidyougototheinputKUshopinthepast6months
treatment,1.0,Howwouldyouratethequalityoftheproductsyoupurchasethere
treatment,1.0,Howwouldyouratethequalityoftheserviceyoupurchasethere
treatment,1.0,Didyouobserveanychangeindairyrelatedactivities
treatment,1.0,Ifyeswhatarethey
treatment,1.0,Whatarethereasonsforthesechanges
treatment,1.0,IsthereanyorganizationGovtinstituteworkingherefordairydevelopme
treatment,1.0,Ifyeswhatactivitiesaretheyarecontinuingfordairydevelopment
treatment,1.0,WhatistheroleofFarmerLeaderFlforgroupdevelopment
treatment,1.0,WhattypeeffectiveactiontakenbyFLsforgroupdevelopment
treatment,1.0,Howthedecisionsaretakeninthegroup1
treatment,1.0,Howthedecisionsaretakeninthegroup2
treatment,1.0,LevelofsatisfactionofFLsactivities
treatment,1.0,WhatdoyouthinkDFTcontributingtoincreasingdecreasingyourGroupcohe
treatment,1.0,OverallcommentsIfany
treatment,1.0,V458
treatment,1.0,V459
treatment,1.0,V460
treatment,1.0,V461
treatment,1.0,V462
treatment,1.0,V463
treatment,1.0,V464
treatment,1.0,V465
treatment,1.0,V466
treatment,1.0,V467
treatment,1.0,V468
treatment,1.0,V469
treatment,2.0,DEO SL
treatment,2.0,Producer ID
treatment,2.0,Name of the Respondent
treatment,2.0,Para Name
treatment,2.0,Village Name
treatment,2.0,Union Name
treatment,2.0,Union GEO Code
treatment,2.0,Thana Name
treatment,2.0,Thana GEO Code
treatment,2.0,District Name
treatment,2.0,District GEO Code
treatment,2.0,HH Type
treatment,2.0,What is your group Name
treatment,2.0,Position in group
treatment,2.0,Hello My Name is
treatment,2.0,Do you agree to participate in the survey?
treatment,2.0,Interviewer Name
treatment,2.0,Interviewer ID
treatment,2.0,Supervisor Name
treatment,2.0,Date of Interview
treatment,2.0,Sex of the Respondent
treatment,2.0,Age of Respondent
treatment,2.0,Marital Status of the Respondent
treatment,2.0,Educational Status of the Respondent
treatment,2.0,Occupation Primary
treatment,2.0,Occupation Secondary
treatment,2.0,Name of the Household Head
treatment,2.0,Relationship with Household Head
treatment,2.0,No of the Family Nennbers (Total)
treatment,2.0,Men Below 5 Years
treatment,2.0,Women Below 5 years
treatment,2.0,Men 5-18 Years
treatment,2.0,Women 5-18 years
treatment,2.0,Men 18-64 Years
treatment,2.0,Women 18-64 years
treatment,2.0,Men 64 Years Above
treatment,2.0,Women 64 years above
treatment,2.0,Total Comsumption (Ltr)
treatment,2.0,Total Free Distribution (Ltr)
treatment,2.0,Neighbours
treatment,2.0,Collection Point
treatment,2.0,Milk Collector
treatment,2.0,Open Market
treatment,2.0,Sweetmeat/Tea Stall
treatment,2.0,Direct to Company
treatment,2.0,Yesterday total spoilage(Ltr)
treatment,2.0,Yesterday total Income from milk sale
treatment,2.0,Within your household who given priority to consumed milk
treatment,2.0,Why s/he was given priority to consumed milk?
treatment,2.0,Are you Cultivating fodder?
treatment,2.0,If Yes Cultivated land (Dec)
treatment,2.0,Which type of fodder you cultivation?
treatment,2.0,What is the drinking water sources for your cattle?
treatment,2.0,Do you wash your cattle?
treatment,2.0,If Not why?
treatment,2.0,If you wash your cattle how often?
treatment,2.0,Measurement taken for bio-security
treatment,2.0,Cow Rearing Women =1
treatment,2.0,Cow Rearing Men =2
treatment,2.0,Cow Rearing Both = 3
treatment,2.0,Feed Purchase Men = 2
treatment,2.0,Feed Purchase Women = 1
treatment,2.0,Feed Purchase Both = 3
treatment,2.0,Milking The Cow Women = 1
treatment,2.0,Milking The Cow Men = 2
treatment,2.0,Milking The Cow Both = 3
treatment,2.0,Milk Selling Women = 1
treatment,2.0,Milk Selling Men = 2
treatment,2.0,Milk Selling Both = 3
treatment,2.0,If you do not engaged in milking why not?
treatment,2.0,Cattle Purchase Wife only = 1
treatment,2.0,Cattle Purchase Husband only = 2
treatment,2.0,Cattle Purchase Jointly = 3
treatment,2.0,Cattle Purchase Other Male Member = 4
treatment,2.0,Cattle Purchase Other Female Member = 5
treatment,2.0,Cattle Sales Wife Only = 1
treatment,2.0,Cattle Sales Husband Only = 2
treatment,2.0,Cattle Sales Jointly = 3
treatment,2.0,Cattle Sales Other Male Member = 4
treatment,2.0,Cattle Sales Other Female Member = 5
treatment,2.0,Where to Sell Milk Wife Only = 1
treatment,2.0,Where to Sell Milk Husband Only = 2
treatment,2.0,Where to Sell Milk Jointly = 3
treatment,2.0,Where to Sell Milk Other Male Member = 4
treatment,2.0,Where to Sell Milk Other Female Member = 5
treatment,2.0,Where to Purchase Feed/Fooder Wife only = 1
treatment,2.0,Where to Purchase Feed/Fooder  Husband only = 2
treatment,2.0,Where to Purchase Feed/Fooder  Jointly = 3
treatment,2.0,Where to Purchase Feed/Fooder  Other Male Member = 4
treatment,2.0,Where to Purchase Feed/Fooder  Other Female Member = 5
treatment,2.0,From where vaccination/de-worming Wife Only = 1
treatment,2.0,From where vaccination/de-worming Husband Only = 2
treatment,2.0,From where vaccination/de-worming Jointly = 3
treatment,2.0,From where vaccination/de-worming Other Male Member = 4
treatment,2.0,From where vaccination/de-worming Other Female Member = 5
treatment,2.0,Where do you dispose cowdung?
treatment,2.0,What do you do with cowdung?
treatment,2.0,Income from cowdung sold during last 6 months
treatment,2.0,Amount Rice Bran
treatment,2.0,Amount Wheat Bran
treatment,2.0,Amount Pulse Husk
treatment,2.0,Amount Broken Rice
treatment,2.0,Amount Molasess
treatment,2.0,Amount Broken Maize
treatment,2.0,Amount Coconut Oil Cake
treatment,2.0,Amount Mustard Oil Cake
treatment,2.0,Amount Mineral Mix
treatment,2.0,Amount DCP
treatment,2.0,Amount Straw
treatment,2.0,Amount Green Grass
treatment,2.0,Amount Ready Feed
treatment,2.0,Amount Total
treatment,2.0,Unit Rice Bran
treatment,2.0,Unit Wheat Bran
treatment,2.0,Unit Pulse Husk
treatment,2.0,Unit Broken Rice
treatment,2.0,Unit Molasess
treatment,2.0,Unit Broken Maize
treatment,2.0,Unit Coconut Oil Cake
treatment,2.0,Unit Mustard Oil Cake
treatment,2.0,Unit Mineral Mix
treatment,2.0,Unit DCP
treatment,2.0,Unit Straw
treatment,2.0,Unit Green Grass
treatment,2.0,Unit Ready Feed
treatment,2.0,Source Rice Bran
treatment,2.0,Source Wheat Bran
treatment,2.0,Source Pulse Husk
treatment,2.0,Source Broken Rice
treatment,2.0,Source Molasess
treatment,2.0,Source Broken Maize
treatment,2.0,Source Coconut Oil Cake
treatment,2.0,Source Mustard Oil Cake
treatment,2.0,Source Mineral Mix
treatment,2.0,Source DCP
treatment,2.0,Source Straw
treatment,2.0,Source Green Grass
treatment,2.0,Source Ready Feed
treatment,2.0,Taka Rice Bran
treatment,2.0,Taka Wheat Bran
treatment,2.0,Taka Pulse Husk
treatment,2.0,Taka Broken Rice
treatment,2.0,Taka Molasess
treatment,2.0,Taka Broken Maize
treatment,2.0,Taka Coconut Oil Cake
treatment,2.0,Taka Mustard Oil Cake
treatment,2.0,Taka Mineral Mix
treatment,2.0,Taka DCP
treatment,2.0,Taka Straw
treatment,2.0,Taka Green Grass
treatment,2.0,Taka Ready Feed
treatment,2.0,Taka Total
treatment,2.0,Dewormed? (5)
treatment,2.0,Vaccinated? (6)
treatment,2.0,Affected by disease? (5)
treatment,2.0,Affected by disease? (2)
treatment,2.0,Affected by disease? (3)
treatment,2.0,Affected by disease? (4)
treatment,2.0,Affected by disease? (6)
treatment,2.0,Affected by disease? (7)
treatment,2.0,Affected by disease? (8)
treatment,2.0,Affected by disease? Total (9)
treatment,2.0,Vaccinated? (2)
treatment,2.0,Vaccinated? (4)
treatment,2.0,Vaccinated? (5)
treatment,2.0,Vaccinated? (7)
treatment,2.0,Vaccinated? (8)
treatment,2.0,Vaccinated? Total (9)
treatment,2.0,Dewormed? (2)
treatment,2.0,Dewormed? (4)
treatment,2.0,Dewormed? (6)
treatment,2.0,Dewormed? (7)
treatment,2.0,Dewormed? (8)
treatment,2.0,Dewormed? (9)
treatment,2.0,Provided AI (2)
treatment,2.0,Provided AI (4)
treatment,2.0,Provided AI  (5)
treatment,2.0,Provided AI  (9)
treatment,2.0,Provided NI (2)
treatment,2.0,Provided NI (4)
treatment,2.0,Provided NI (5)
treatment,2.0,Provided NI (9)
treatment,2.0,Total Expenditure
treatment,2.0,Cow Buy (Yes/No)
treatment,2.0,Cow Buy If yes how many
treatment,2.0,Cow Buy  Type of Cow
treatment,2.0,Cow Buy Breed of Cow
treatment,2.0,Cow Buy Calf Sex
treatment,2.0,Cow Buy Price of Cow
treatment,2.0,Cow Buy Selling Month
treatment,2.0,Calf Buy (Yes/No)
treatment,2.0,Calf Buy If Yes How Many
treatment,2.0,Calf Buy Type of Cow
treatment,2.0,Calf Buy Breed of Cow
treatment,2.0,Calf Buy Calf Sex
treatment,2.0,Calf Buy Price of Cow
treatment,2.0,Calf Buy Selling Month
treatment,2.0,Cow Sell (Yes/No)
treatment,2.0,Cow Sell If yes How Many
treatment,2.0,Cow Sell Type of Cow
